file_path,label,score
/hammer curl/hammer curl_10.mp4,5,0
/hammer curl/hammer curl_13.mp4,5,0.6717155575752258
/hammer curl/hammer curl_9.mp4,5,0.999406099319458
/hammer curl/hammer curl_12.mp4,5,0
/hammer curl/hammer curl_11.mp4,5,0.9106731414794922
/hammer curl/2.mp4,5,0.7902407050132751
/hammer curl/7.mp4,5,0.2748616933822632
/hammer curl/6.mp4,5,0.10151541978120804
/hammer curl/1.mp4,5,0
/hammer curl/hammer curl_8.mp4,5,0.9865880608558655
/hammer curl/5.mp4,5,0.9969955682754517
/hammer curl/hammer curl_6.mp4,5,0.9995105266571045
/hammer curl/hammer curl_14.mp4,5,0.9989020824432373
/hammer curl/hammer curl_3.mp4,5,0.9854407906532288
/hammer curl/hammer curl_0.mp4,5,0.0017141127027571201
/hammer curl/hammer curl_1.mp4,5,0.8893629908561707
/hammer curl/hammer curl_4.mp4,5,0.994766354560852
/hammer curl/hammer curl_5.mp4,5,0.9985017776489258
/hammer curl/hammer curl_2.mp4,5,0.25149261951446533
/hammer curl/3.mp4,5,0.10201238840818405
/hammer curl/hammer curl_7.mp4,5,0.9955447912216187
/bench press/incline bench press_6.mp4,1,0
/bench press/bench press_12.mp4,1,0.9924598336219788
/bench press/bench press_9.mp4,1,0.5441921353340149
/bench press/bench press_19.mp4,1,0
/bench press/bench press_0.mp4,1,0.014909140765666962
/bench press/bench press_11.mp4,1,0.9995014667510986
/bench press/bench press_15.mp4,1,0
/bench press/incline bench press_8.mp4,1,0.981476366519928
/bench press/bench press_10.mp4,1,0
/bench press/bench press_7.mp4,1,0.9691877961158752
/bench press/bench press_6.mp4,1,0.9783178567886353
/bench press/bench press_2.mp4,1,0.0002207020588684827
/bench press/bench press_18.mp4,1,0.9985332489013672
/bench press/bench press_16.mp4,1,0.9940470457077026
/bench press/bench press_5.mp4,1,0
/bench press/bench press_1.mp4,1,0.9940902590751648
/bench press/bench press_14.mp4,1,0
/bench press/bench press_8.mp4,1,0.0014708259841427207
/bench press/bench press_3.mp4,1,0.005172315984964371
/pull Up/pull up_9.mp4,13,0
/pull Up/pull up_1.mp4,13,0.999515175819397
/pull Up/pull up_3.mp4,13,0.7647218704223633
/pull Up/4.mp4,13,0.6031478643417358
/pull Up/pull up_0.mp4,13,0.0002248599921585992
/pull Up/pull up_6.mp4,13,0.134347602725029
